"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
1,366960838E2;6,498732554E1;2,555819908E1;1,533005790E1;3,280926514E1;2,660000086E0;3,007999878E2;3,329617100E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,376910108E2;6,498734424E1;2,555815978E1;1,545727780E1;3,293646240E1;2,690000057E0;3,161000061E2;3,359301217E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,386929452E2;6,498736930E1;2,555813802E1;1,495431339E1;3,243347168E1;2,700000048E0;3,342999878E2;3,384952184E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,396963731E2;6,498739222E1;2,555813184E1;1,477238986E1;3,225152588E1;2,289999962E0;3,473999939E2;3,397106554E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,406916524E2;6,498740315E1;2,555813155E1;1,448284936E1;3,196197510E1;8,899999857E-1;3,460000000E2;3,402439425E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,416898996E2;6,498740760E1;2,555813578E1;1,402380757E1;3,150292969E1;3,000000119E-1;3,495000000E2;3,406600729E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,426924951E2;6,498740870E1;2,555814424E1;1,435113904E1;3,183026123E1;3,300000131E-1;1,030999985E2;3,411593849E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,436924860E2;6,498740873E1;2,555815486E1;1,413617187E1;3,161529541E1;3,600000143E-1;4,740000153E1;3,423233054E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,446954945E2;6,498741919E1;2,555815579E1;1,391071768E1;3,138983154E1;1,070000052E0;3,538999939E2;3,433113479E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,456978979E2;6,498742796E1;2,555815241E1;1,399294069E1;3,147204590E1;6,800000072E-1;3,563999939E2;3,442969943E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,466968803E2;6,498743682E1;2,555815177E1;1,430526597E1;3,178436279E1;8,700000048E-1;4,000000060E-1;3,458419999E-1;3,790092468E0;2,500000000E0;4,000000000E1
1,476889035E2;6,498745067E1;2,555814914E1;1,417765477E1;3,165673828E1;1,240000010E0;3,575000000E2;3,477376362E-1;3,887227297E0;2,500000000E0;4,000000000E1
1,486909915E2;6,498746732E1;2,555814048E1;1,441137511E1;3,189044189E1;1,620000005E0;3,000000119E-1;3,494665591E-1;3,880048513E0;2,500000000E0;4,100000000E1
1,496916944E2;6,498748280E1;2,555814393E1;1,465656739E1;3,213562012E1;1,669999957E0;8,000000000E0;3,513074035E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,506918390E2;6,498749906E1;2,555815129E1;1,451076867E1;3,198980713E1;1,470000029E0;8,199999809E0;3,526647435E-1;3,790092468E0;2,500000000E0;4,000000000E1
1,516910704E2;6,498751104E1;2,555815683E1;1,428696326E1;3,176599121E1;1,580000043E0;1,069999981E1;3,546336993E-1;3,790092468E0;2,500000000E0;4,000000000E1
1,526895555E2;6,498752853E1;2,555816337E1;1,417619998E1;3,165521240E1;1,980000019E0;9,699999809E0;3,571237814E-1;3,790092468E0;2,500000000E0;4,000000000E1
1,536907047E2;6,498755072E1;2,555817050E1;1,428455725E1;3,176354980E1;2,670000076E0;5,500000000E0;3,599348537E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,546913395E2;6,498757597E1;2,555817344E1;1,438205367E1;3,186102295E1;3,019999981E0;2,400000095E0;3,628603090E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,556922570E2;6,498760227E1;2,555817509E1;1,466686813E1;3,214581299E1;3,069999933E0;5,000000000E-1;3,661572471E-1;3,790092468E0;2,500000000E0;4,100000000E1
