"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,268457246E0;-4,368830472E-2;6,603407860E-2;1,041402817E-1;1,308218857E-1
1,273447819E0;-6,717143208E-2;3,399085999E-2;5,354499817E-2;9,238206903E-2
1,278451621E0;-6,706413627E-2;1,687026024E-2;3,274917603E-3;6,923098395E-2
1,283455423E0;-5,279392749E-2;1,717710495E-2;-5,861473083E-2;8,073374998E-2
1,288459225E0;-8,574390411E-2;-8,413791656E-4;-8,689880371E-2;1,220824602E-1
1,293469589E0;-6,772173941E-2;-8,322715759E-3;-6,052970886E-2;9,121045577E-2
1,298473756E0;-3,954385221E-2;-2,921509743E-2;-1,319599152E-2;5,090552384E-2
1,303477871E0;-3,462953866E-2;-1,864695549E-2;1,262884140E-1;1,322712267E-1
1,308481985E0;6,339486688E-3;-2,929306030E-2;2,265386581E-1;2,285126607E-1
1,313488860E0;6,353485584E-2;-3,524756432E-2;2,974853516E-1;3,062296574E-1
1,318493131E0;1,078592986E-1;-2,737927437E-2;3,418302536E-1;3,594873784E-1
1,323497402E0;1,080560908E-1;-5,369257927E-2;3,171300888E-1;3,393088638E-1
1,328501673E0;1,002577171E-1;-7,839703560E-2;2,477455139E-1;2,785238674E-1
1,333475475E0;6,569972634E-2;-1,012561321E-1;1,791238785E-1;2,159968106E-1
1,338478235E0;8,832249790E-2;-1,079783440E-1;1,254940033E-1;1,876404308E-1
1,343480996E0;1,231952310E-1;-9,144663811E-2;6,056594849E-2;1,649478301E-1
1,348483704E0;1,134313792E-1;-9,223818779E-2;-5,120182037E-2;1,549070285E-1
1,353521048E0;1,235236973E-1;-8,396530151E-2;-1,310520172E-1;1,987030620E-1
1,358525527E0;1,296830475E-1;-9,025478363E-2;-2,078094482E-1;2,610524575E-1
1,363530006E0;9,356352687E-2;-8,486533165E-2;-2,743654251E-1;3,020474211E-1
1,368534485E0;2,724981308E-2;-4,633593559E-2;-3,165960312E-1;3,211271060E-1
1,373534746E0;-2,461615950E-3;-3,369832039E-2;-3,348579407E-1;3,365582814E-1
1,378539069E0;-4,316277429E-2;-2,273249626E-2;-3,365411758E-1;3,400584575E-1
1,383543339E0;-4,749303311E-2;8,044242859E-4;-2,813911438E-1;2,853720573E-1
1,388547610E0;-9,427490085E-2;-1,045179367E-2;-2,245779037E-1;2,437872675E-1
1,393552662E0;-4,562497139E-2;-1,580238342E-2;-1,494922638E-1;1,570964362E-1
1,398556985E0;4,967473820E-2;-5,121064186E-2;-5,146503448E-2;8,797021785E-2
1,403561308E0;1,021529734E-2;-8,584594727E-2;3,851032257E-2;9,464102655E-2
1,408565631E0;3,181890026E-2;-1,031868458E-1;1,347761154E-1;1,726979121E-1
1,413569537E0;1,211212426E-1;-9,660410881E-2;1,922330856E-1;2,468932329E-1
1,418573860E0;1,538088173E-1;-1,022574902E-1;2,279138565E-1;2,933572439E-1
1,423578131E0;1,995331794E-1;-9,924697876E-2;2,160072327E-1;3,103587876E-1
1,428582454E0;2,040458322E-1;-1,375825405E-1;1,806764603E-1;3,052992636E-1
1,433585267E0;2,061309814E-1;-1,264464855E-1;8,880615234E-2;2,576144948E-1
1,438589485E0;1,990526021E-1;-9,966111183E-2;1,692008972E-2;2,232500057E-1
1,443593704E0;2,024616003E-1;-9,526467323E-2;-6,131172180E-2;2,320025534E-1
1,448597923E0;1,260770857E-1;-1,176185608E-1;-1,672649384E-1;2,402230567E-1
1,453607819E0;1,037840694E-1;-8,532881737E-2;-1,820306778E-1;2,262461222E-1
1,458612298E0;4,932949692E-2;-5,795478821E-2;-1,682004929E-1;1,846173408E-1
1,463616777E0;1,024106890E-2;-5,213499069E-2;-1,616287231E-1;1,701375352E-1
1,468621308E0;-1,403195783E-2;-2,245378494E-2;-1,337699890E-1;1,363652385E-1
1,473619746E0;2,608224750E-3;-2,584505081E-2;-8,012008667E-2;8,422587355E-2
1,478623964E0;3,369965404E-2;-4,801177979E-2;-1,746559143E-2;6,120330518E-2
1,483628183E0;8,835688233E-2;-3,640794754E-2;2,320861816E-2;9,834183879E-2
1,488632350E0;1,138058603E-1;-3,159832954E-2;9,907436371E-2;1,541621153E-1
1,493636256E0;1,526389718E-1;-3,375387192E-2;1,790161133E-1;2,376652023E-1
1,498640423E0;1,638365388E-1;-4,299426079E-2;2,084064484E-1;2,685594266E-1
1,503644642E0;1,644950509E-1;-5,946326256E-2;1,900920868E-1;2,583205428E-1
1,508648808E0;1,458617896E-1;-4,024171829E-2;1,529464722E-1;2,151457202E-1
1,513655058E0;1,199678183E-1;-5,206751823E-2;1,161146164E-1;1,748882729E-1
1,518659381E0;6,580538303E-2;-9,700465202E-2;4,394531250E-2;1,251856279E-1
1,523663652E0;2,636928111E-2;-9,145712852E-2;3,646278381E-2;1,019278173E-1
1,528667923E0;8,709408343E-3;-5,970096588E-2;3,376293182E-2;6,913750564E-2
1,533671360E0;-1,495502889E-3;-1,168298721E-2;2,635765076E-2;2,886961158E-2
1,538675631E0;-4,949948937E-2;-6,978750229E-3;-2,133369446E-2;5,435097903E-2
1,543679850E0;-7,528177649E-2;3,791880608E-2;-4,959106445E-2;9,779803372E-2
